"x"	"i"	"j"	"k"	"y"
1.46321093703486	0	1	2	93.3553467344473
23.3703643998856	0	1	2	216.605377686443
62.2537172837788	1	0	1	403.040837366709
54.5732346903718	0	1	2	273.708337616667
-5.86980110071049	0	0	1	-125.18884834511
73.5051819727644	1	1	2	645.304235334929
27.4660335312509	0	1	1	223.418013782667
29.4562523852353	0	0	0	127.468560932447
90.6121272335757	0	1	3	358.620094734117
99.8893668818905	0	0	1	420.931974511156
18.4297977300991	0	0	3	-17.7900707143527
11.4474370613108	0	1	0	79.1752422727158
64.7874470247501	0	1	1	324.820389840295
87.1179749602243	0	0	1	478.956184889557
13.7965174891578	0	1	1	79.6282841369407
36.099425007015	1	1	1	239.188906545666
103.624445878814	1	1	0	710.014046780522
65.6611473536522	1	0	2	361.240209964894
94.1093798717202	1	1	0	630.306646225391
31.356194479092	1	1	2	189.261677417753
50.2733869506996	0	1	2	205.846684422663
-12.2908323195039	0	1	3	115.100384916862
12.5901195223793	0	1	2	-10.4913966222738
58.2226797811264	1	1	2	360.580382537954
21.4569771423911	0	1	0	322.035598509107
5.74893602997476	0	1	1	53.9209293029562
50.8903145216747	1	0	1	136.020612292935
37.6016681268433	1	0	2	352.175266336008
79.1814124744464	0	0	2	360.325536539019
-14.1606871877022	0	0	1	-32.7202583741965
24.3709669165801	1	1	0	404.171252386036
46.8260055457563	0	1	1	319.715445983051
66.351334479487	1	1	1	535.336976361046
98.1770105069965	0	1	2	501.06655378031
42.232391731235	1	1	2	372.410374179372
-2.01672467204455	0	0	2	-95.4123726021603
29.6905341438277	1	1	1	140.593374337503
16.4642092114999	1	1	1	183.767666114161
51.3532302819623	1	1	2	395.188652237598
58.9922468688673	1	1	0	237.073881832461
50.9074037300901	1	1	0	344.001153906081
-11.9158080625407	1	1	2	-64.0991712306393
34.1568716764286	1	0	2	245.986136963119
103.951942312749	0	0	2	437.576423218339
27.9018915447694	0	1	1	263.50417875066
38.8388684156851	1	1	1	306.064090406089
81.4064534850719	0	1	2	281.561339948346
-8.36451775798208	1	1	2	-54.3829812579913
7.42853533238608	0	0	1	43.6237400543606
116.585743377443	1	1	2	723.308888401886
11.4867428402041	1	0	2	49.3157641766281
6.10741198394686	1	0	0	-103.763082817163
49.8630778195939	0	0	1	238.626757593287
69.9195707920703	1	0	1	357.133978108638
26.0962726552893	1	0	1	252.20601703951
24.9362456986899	0	0	1	6.61893448340032
26.1259692049757	1	1	1	229.184300433142
17.7123610500492	0	0	3	172.250439707425
33.7723550024296	1	0	1	113.368445117098
10.3790524727949	1	1	0	174.199989846729
-8.70162237753353	1	0	2	-66.0488320514822
46.3275222161278	1	1	1	223.310815700797
71.7179191273422	1	0	1	262.676048298515
62.5037970633328	0	0	1	316.222540415267
13.677128036017	1	0	3	104.366207764303
103.227765291549	1	1	2	535.713534352875
24.0734077480687	1	1	3	137.626195427877
57.6275542392953	1	0	1	465.835336603957
21.4466810187358	1	1	2	66.5912429576452
126.278975852375	1	1	3	702.089816128725
45.8559510307152	1	0	1	144.251180847319
18.3496961870113	0	0	0	-79.326847263141
40.4362269219717	0	1	0	139.278471619131
84.1478691799671	0	1	1	549.632500094041
-5.98256413681184	1	0	1	252.575616836108
90.0770054296148	1	0	3	219.916060225956
94.9494764642021	1	1	2	565.185753630567
69.9138985199743	1	0	0	298.687593251088
73.5091070170943	1	1	3	626.632094374061
-16.3924041685141	0	0	2	-93.6262898060165
76.3914560973929	0	0	2	408.359528684144
2.15614822036912	1	1	0	182.45852550803
162.72228760787	0	0	1	834.326470480493
51.9739682541432	1	0	0	211.765481353968
73.3271309617552	1	1	3	453.957970285747
92.1878849665698	1	1	2	758.15490930438
68.3506452314214	0	0	1	239.738735828553
7.94940922604958	1	0	2	-6.73430843044763
108.463529339364	0	0	1	580.423095917221
24.5980113469953	1	0	2	61.1380204624187
-38.393891659545	1	0	1	-132.906536602941
-28.5762962167877	0	0	0	-19.1798666062169
23.5048294379404	0	1	1	217.964901499559
-73.2515694606626	1	1	2	2.36317152654925
26.1249324109876	0	1	2	96.6405951371937
7.78694067493574	0	1	3	107.226138589816
113.802022160606	0	1	1	564.549765474541
56.4004186485478	0	1	1	266.809472904458
68.7855229392424	1	0	2	227.991391860921
45.3662841647077	1	1	2	423.876733664509
15.7586934313409	1	1	1	37.5186370775346
13.7585838020793	0	1	3	301.768545067781
54.5024518122649	1	1	1	441.908521694688
-12.5644878207111	1	1	1	219.895687404209
83.3884631752057	0	0	1	247.102978570187
98.3820897287477	1	1	2	476.74436112072
72.7881444481566	1	0	3	443.015816128689
140.639769956912	1	1	2	690.876282232787
-6.19546560787472	0	0	1	35.3987609573919
80.0339627845581	1	0	2	365.450507394855
61.3258858397205	0	1	0	452.313278353945
87.2206175411137	0	0	1	328.237621788861
102.825342737411	1	1	2	810.033318628662
55.610909984317	1	1	2	399.839531052907
7.53236247391392	1	1	1	362.787649530483
24.9710702017214	1	1	0	396.100823349541
9.06938624414854	0	0	0	87.7891593595609
60.589453220684	1	1	2	451.239287174127
26.2660423701576	1	1	2	282.071610972486
77.8962812764022	0	1	2	459.337965139834
49.9562277253274	1	0	3	257.595982361439
28.1783878207313	1	0	1	207.522721889958
-34.64844736563	1	1	2	10.4754102997363
29.258284074223	1	0	3	186.217844960087
33.1929585651583	1	1	1	301.471595854961
11.0636482400766	1	0	2	96.6902512642735
26.5733870554324	1	0	2	162.519570993215
82.6627312703353	0	1	1	327.519348303125
73.6701426189673	1	1	3	473.389551833201
85.4107613142191	1	1	2	512.540867351969
50.4238909747799	0	1	2	373.305860942578
85.4318046247895	1	0	1	255.774286057488
102.748610704305	0	0	1	324.658495767096
144.325986576591	1	1	2	810.200198499114
6.48657585988305	0	0	1	38.2323619156989
61.2657431876554	1	1	3	253.100005697165
77.3067428967247	1	1	1	435.52992758753
4.13261185766852	1	0	2	77.363830090246
3.61210936975732	1	0	1	67.3371256375063
70.0148291312743	0	0	1	358.216686901706
63.6697825545	0	0	0	347.498843902881
20.0660751575956	0	1	3	35.4978028454439
22.8612951245657	0	0	2	125.931684037445
-39.9060005147168	1	1	2	22.5481865550628
84.7628584597148	1	1	2	516.469164125277
-31.1099837772339	1	0	2	-88.4857298403268
32.6147185067929	0	0	2	298.504358220406
92.3994774969552	1	1	1	484.913812723858
68.7077488705161	1	0	2	477.887157750726
47.5022183480191	1	1	3	441.995493756257
97.8579821560151	0	0	2	515.594409027711
38.6620703454934	0	1	1	183.61331682554
43.721046702623	1	0	0	301.260231184266
11.5462673334885	1	1	2	192.030060220339
54.5124556988867	1	0	1	298.100567545089
-25.9655115424037	1	1	2	-70.6311502525402
26.1640128584119	0	1	2	250.988915718056
2.04440116233874	0	0	0	-74.9700525170334
-65.4396175316926	1	1	2	-242.389381818066
9.04036068289222	1	0	1	151.578700485995
22.9427308998719	1	1	2	95.3338600320445
118.596082876699	1	1	2	548.058386498804
-1.63427699821783	1	1	0	210.49304264149
86.221163509764	0	0	1	477.863566264732
-27.8189497280384	0	1	1	16.4929515654043
61.377434272796	0	0	1	145.419666523641
-14.4924578816984	0	1	2	-143.01085299788
54.1949434500811	0	1	3	137.978438725418
50.8276284540831	1	1	1	379.403525405788
97.4395770765133	0	1	1	415.309897598677
74.7927663192078	0	0	1	229.708335684036
-3.38709490540958	0	1	0	244.153978659935
-1.41578704154563	1	0	2	-129.030249051092
-11.3898112593192	1	1	2	193.480469726157
41.2178434509936	1	0	1	415.338376294848
41.8266470422181	0	1	3	106.804712444279
2.60627234936456	0	0	1	-66.8084135645859
6.87495717737902	0	0	1	-39.3492823453237
142.213493625241	1	1	1	792.693160494538
127.471490913792	0	1	2	713.801875247208
102.858541077964	1	0	0	446.660732989212
68.2246294894393	0	0	2	332.28441142984
7.47967484703734	1	0	2	208.999874684145
24.9357222534221	0	1	3	123.271766270569
52.5701452108987	0	0	2	193.87552614811
89.7098953295154	1	1	1	521.970337685705
40.0444458827339	0	1	1	214.079085483264
26.0608015642921	0	1	2	114.593610852989
32.5047602044178	0	0	1	228.091441426267
9.15363578581059	1	1	1	170.921581227058
89.8545644431999	0	1	0	441.770839439841
-3.12614197901102	1	0	1	-37.185150750464
-23.1031530682333	0	1	1	-41.6012031637872
89.0343158916723	0	1	2	316.392060831815
70.0090780690918	1	1	1	500.394097706554
56.6117693663784	1	0	2	411.809738626144
27.41206016696	1	0	1	275.690507190744
26.9927143220391	0	0	1	149.78372098348
50.0269958669143	0	0	0	190.74565771183
14.6642027859477	1	0	1	88.3237782948472
79.6383220574734	0	1	1	428.545499921364
-2.54343832344495	1	0	2	113.019657969231
32.3924582283441	0	0	0	218.638201623995
-22.2023985965095	1	1	3	-75.7693031326513
45.8741715748654	0	1	1	286.990879068074
-10.3309942209864	1	1	0	34.6249987883049
116.093817653553	0	1	2	647.703350663001
39.0876124467942	1	0	1	148.270056184333
54.5646246465112	1	1	1	410.776567817491
40.5096685694578	1	1	3	269.478098874746
63.5089348578373	0	0	1	285.310768156655
6.65629112742613	0	1	1	82.187172721439
88.904056980776	1	0	1	507.033892744386
56.3805610330155	0	1	2	299.607995728573
39.2070570690001	0	1	3	371.221930335508
-1.32155924788359	1	0	1	79.2467831241476
13.6245382427603	0	0	1	-81.783208401233
71.0658688263021	1	1	2	396.804667391552
63.4620517652284	1	1	2	417.954177168078
53.6712323521334	0	1	3	119.464019288507
63.5734017695368	0	0	0	451.039904283543
-13.7067805601248	1	1	2	17.8554312215764
54.2307600262309	1	1	1	375.293384172057
-23.6049059334947	0	1	2	-124.075655870692
85.2035480056762	1	1	1	542.931640031833
43.1673912344455	0	0	1	233.601672074455
64.3394909844217	1	1	1	341.126638106151
98.8703611168639	1	0	3	682.593446010847
90.9625633296232	1	1	1	402.89836489198
25.5112799668807	1	0	2	209.911311233028
69.3976746426163	0	1	1	364.420539185767
4.40705378848474	0	1	1	-77.2566562902672
32.9095394323816	0	0	2	246.645439732649
59.1440105149185	0	0	1	174.843654854029
16.2394094155336	0	0	1	101.186818031677
99.0445545653176	0	1	0	664.254328794836
28.1527835510973	1	0	2	373.463734465986
23.1638555994557	0	1	0	23.0721234434133
95.9369141330716	0	1	0	666.913774688787
68.636422794118	0	0	2	275.275642204242
26.9394261803073	1	0	2	135.800485659869
50.2436809262067	1	0	0	318.83844759962
74.2838842435827	1	0	0	326.410235987684
72.745376209346	0	0	1	245.76085721858
96.9545367228833	1	0	2	343.775955654722
9.18931825247856	1	1	2	239.690867008393
31.3445499478962	1	0	3	270.867537614624
18.7867981500278	0	1	3	97.9200611725034
62.1814089066005	1	1	2	405.402269865444
87.356901358784	1	0	2	195.510037051371
41.9386189586362	0	1	1	276.485733300057
-11.5727648407898	0	0	2	-47.3318643343935
10.5401676323382	0	1	1	186.319466979545
62.7467575418617	1	1	3	508.624231219454
48.1723718281829	0	1	2	198.383070205902
41.9130470922474	1	0	1	-30.3280925754826
51.2115221040616	1	1	2	161.759894123307
24.2921859355127	1	1	3	434.881488953619
62.7857289425099	0	0	0	270.735235726004
50.3462283573672	1	0	1	387.96622992401
-13.4550102108022	1	1	0	82.4767505071597
100.781425448332	1	1	2	577.952393132683
41.8376274133869	1	0	2	130.234770437152
79.0052345968341	0	1	1	647.079125025402
37.7732348164783	0	0	1	-32.3710530336373
-14.6105705196219	0	1	1	124.259031297599
-9.48328965401949	1	1	0	-48.3888864833552
89.606000852916	0	0	2	426.27842628938
102.04879253079	1	0	3	653.364726936576
16.2676798325182	0	0	1	122.38371019446
59.0810785879454	1	0	2	328.000295699635
33.9640238966107	1	0	2	243.844476035149
4.26796063849577	1	0	2	217.199905014246
4.02571954083098	1	1	2	279.592610650721
-21.2407535806092	1	1	2	52.4813483243505
30.4571596763784	1	0	1	48.2353372205743
-22.6263285979593	0	0	1	-139.357821761908
-6.60376872040506	1	0	1	-125.251207903548
110.373964432056	1	0	1	715.018395187939
52.1429757081271	0	1	2	397.126116627027
90.0543161281945	0	0	2	275.28454097441
42.465785884915	1	0	3	309.588662024042
1.84726813853725	1	1	1	211.020728460806
48.0827553235309	0	1	2	404.236852328449
14.3651785686221	0	0	1	130.90790832172
29.5583919616579	1	0	1	303.410322648148
59.7203585669667	1	1	2	266.955975019691
-28.2964645978386	1	0	0	-89.1688155797732
60.3334174827407	0	0	1	286.876101309272
48.343633506022	0	1	0	409.557967833984
125.676655140655	1	0	1	691.667970978308
114.085096511769	1	0	2	465.169998678984
75.4657437627035	1	1	3	491.788568137132
25.6464332362048	1	1	1	354.209453439916
50.7520657452741	0	0	2	142.933832491407
35.0515379478742	0	1	1	240.511731709274
8.14859781620927	1	0	1	44.1577603896237
51.9996937890383	0	1	2	313.832682671408
10.0785285332696	1	0	1	-18.3073649349065
93.6334811213153	0	0	0	488.328722024098
-2.31812300732563	0	1	2	-68.2023174500127
147.653604469875	0	0	0	743.947099684217
56.6597770472572	0	1	2	486.369884839461
74.0549265419349	1	0	2	230.661743821189
2.74523110195605	1	0	2	-64.13283120711
32.5754035179087	1	0	2	296.125957446041
-1.20541285000078	0	0	1	-51.9439933956271
33.7002896234423	0	1	1	425.327707196574
-52.8910732609508	1	1	3	-64.5470219973649
11.9615698534914	0	0	2	3.86468569686362
31.1083081253469	1	1	1	214.272579131892
-18.2320195647409	1	1	2	26.7307875327549
72.2816440695759	0	1	1	474.648998314359
68.278279114047	0	1	2	323.436865581022
85.8615137413975	0	1	2	477.763290701023
7.5335570437673	0	0	1	259.969250311812
60.5904975113355	1	0	2	102.13189998465
13.0078175175289	1	1	0	120.368563827111
102.635767071996	0	1	0	602.604252368796
65.6291770727127	0	0	2	440.072668263199
66.7576465450663	0	1	3	443.501836891984
34.4564982622253	1	1	2	178.953832552482
14.4912825039721	0	0	2	32.394040624986
63.3660034233578	1	0	3	338.114639964303
5.94753095206315	0	1	2	12.1497427487125
-18.9443150388978	1	1	2	207.466075872756
32.7823226555181	0	1	3	217.937251818029
52.8634024841012	0	0	2	216.542565514123
41.4190459603564	0	1	0	214.625917785741
21.3422518444971	1	1	1	273.520285652866
112.929801175705	0	1	2	675.769298140531
-1.34425733115239	1	0	1	101.005029260974
37.8400162564263	0	0	1	294.518048101505
12.9119336048774	0	0	1	-93.985714905048
72.6287866561094	0	0	0	113.262159183915
13.2899149138356	0	0	2	44.2177775601624
33.4236089550378	0	0	3	292.503422635577
106.415346260879	1	1	1	771.6508418007
49.582058004897	0	1	2	236.143059521914
-18.750384709357	0	0	2	-90.5347812614703
33.7432475710667	0	0	1	22.8200552807783
97.1613839958631	0	0	2	242.760971761444
113.212836778865	1	1	3	627.698255127596
14.0141849407614	1	0	1	67.2100028727645
44.4249463650571	0	0	0	341.448620097261
-4.05596079622957	0	1	1	53.7305971978173
23.1205975437379	1	0	1	159.698271398299
103.408718814534	0	1	1	301.721264854947
77.9695375114934	1	0	1	393.609633124973
93.9834951241459	1	1	2	536.883619311624
23.2569341894641	1	0	1	-54.2202684375555
46.7108797144969	1	0	2	142.731239881567
52.1777224821811	1	1	2	71.9494097495816
-14.1035893038658	0	1	1	105.900018305136
123.719604268651	1	1	0	714.029054367366
91.0621526373746	1	0	2	403.580002119712
27.3660751843969	0	1	1	302.255234552254
8.72313220872907	1	0	2	-29.5316995698475
58.4677006912739	0	1	1	404.858333609882
-43.1006954627191	0	0	2	-137.052494528413
28.2306838837993	0	0	1	36.9047839409784
60.7034972724101	1	1	1	421.46171633821
-71.2110258962583	0	0	0	-350.113969318055
76.6188441780122	0	1	1	410.234771995695
38.6874843139571	1	1	2	282.221805822195
106.436920411641	0	0	0	411.371066346908
107.46138896669	0	0	1	380.536972038424
14.5006996362009	0	0	0	-38.594355575031
30.4745463057532	0	1	1	333.621011207135
103.119644509518	1	1	0	488.012116749364
-9.04534345423873	0	1	0	-144.412366894449
79.6402471831654	1	0	1	492.709512315858
20.0157966387043	0	1	1	322.66171645287
29.5586042690145	0	1	2	202.96174050476
16.4383319025329	0	1	1	166.629408075457
87.3429472085176	1	1	2	580.115606004676
69.2351283253473	1	0	3	313.194639208409
73.882091099817	0	0	1	239.154329920746
27.9486102523012	1	1	2	317.980882646165
97.0733808472189	0	0	2	499.710748978075
97.2442682071628	0	1	1	489.694043215523
93.4419657352398	1	0	2	394.71202954554
3.49388077474165	1	1	1	32.7008138109084
-38.6214756012717	0	1	1	216.303419655466
25.5638306614733	0	1	1	153.281536157474
14.1300504870929	1	0	2	21.9352516137141
17.4225212875383	1	1	2	213.867287222804
81.0800951177523	1	1	0	609.330637472171
24.892880513818	1	1	2	77.3009984979106
91.6157645099407	0	1	0	678.656423161833
50.1442426758159	0	0	1	318.556845023916
63.6420665595206	1	1	2	333.083879811445
94.8771776957248	1	1	2	647.83772264064
107.147332543678	1	0	1	653.784292239304
10.599654876887	0	0	2	78.8099677842393
52.1219261407767	0	0	2	310.401508599595
22.4055658511725	1	0	1	117.426804066606
-39.1739973913534	1	0	1	-168.296854855168
65.189226109725	1	0	1	223.067952631798
-12.6816235697873	1	1	2	311.156979287045
-18.3450182232355	1	0	0	-5.67559512441206
103.076350604194	1	1	2	487.597255602687
69.1372645164247	1	0	3	246.645242027639
24.9186024415983	0	0	3	84.5014691486549
-1.84898973642844	0	1	1	144.929109659427
12.3365994700863	0	1	0	235.795503945498
8.26336831299088	1	1	2	113.456147037837
14.3476632926892	0	0	1	36.6766989564321
-0.808737502582709	1	0	3	120.807477838373
-12.9698042664213	1	1	2	174.618659244801
75.645892428394	1	1	2	485.750101448929
36.0782065758728	0	0	2	134.495952614416
33.1317800363475	1	1	3	265.119444080027
30.074951347383	0	0	0	-102.475355732216
71.538288733079	1	1	0	508.6025193851
-28.1059675828371	0	1	1	-159.482881276774
72.499855379934	0	1	2	354.474481979356
26.4367429718979	1	0	1	184.465915419191
6.50570705606194	1	1	1	7.34215269528619
54.4999555118038	1	0	1	247.875106915664
19.3028885704328	1	0	3	124.985649203909
122.259324366115	1	0	0	519.722844716251
75.4199378627179	0	0	2	289.619914779724
-77.3696150269946	1	1	1	-163.499956519989
60.7368024063315	1	0	1	299.921663936859
-27.8409739197137	0	0	1	-7.0295035644038
70.3219151439616	1	1	0	538.022342665581
52.9965282543688	1	0	1	289.933605097803
104.660508030084	1	0	1	589.077105753581
-33.1189677901726	1	0	0	-0.452048229304879
155.697035150343	0	1	2	614.957226339843
35.9855590611827	0	0	2	136.189353483782
44.3824585445231	1	1	3	196.069035268915
13.4838155354738	0	1	3	158.550991874361
58.3243750854796	1	0	1	314.366140736205
33.7540985070553	1	0	1	135.806498130055
50.9911502513208	1	1	0	319.920132368211
27.327733673028	0	0	2	130.875813980562
74.8135027590204	0	0	1	289.65991521028
48.8542886336501	1	1	1	437.151212554339
98.1651416466414	1	0	1	458.061652088044
22.2551095871296	0	0	1	140.744848837775
59.2115715200054	1	0	3	325.265662256644
46.0897840533408	1	0	2	56.9035148794946
-54.9455726382821	1	0	1	-279.612062232816
13.9310955747097	1	0	0	-85.0070851337907
10.8297452128973	0	1	1	456.618960555263
57.3415921144851	0	0	1	217.366755794019
66.6840649953376	0	1	2	458.320491729757
154.030612385365	1	0	2	732.193230026399
29.3829496272409	0	1	2	247.822108191561
52.7301007707447	1	1	2	192.176283460957
25.3769791695774	1	1	1	49.092667423346
20.5597387360876	0	1	2	149.886071562845
69.1766592611623	0	1	1	358.58994175053
70.3515854411446	1	0	2	429.100277675568
-13.7583474123439	1	0	2	-117.900362530694
11.4945884156959	1	1	3	197.207274966521
23.652010394534	0	1	2	233.259331322209
124.271160583212	0	0	0	476.055577531074
50.3339399102575	1	1	1	312.837913112883
43.3217702679005	0	1	3	112.929176198343
45.4075414910451	0	0	1	135.717466262693
44.4210309112148	1	1	2	362.782431627547
-12.5574399388071	0	1	1	114.295610863067
82.0924964092066	1	1	2	246.111231751904
71.0618505770854	0	1	2	510.047999635821
44.278114927523	0	1	1	181.982331802451
23.6442811791518	0	0	2	58.7325901580804
49.6378418600091	0	1	1	224.859138762938
18.3845703765392	0	0	2	11.572062757529
62.2105820196593	1	1	0	407.416692041833
-13.3494224247123	1	0	3	-133.36385277906
94.3982082735897	0	1	2	490.756213550742
125.054560297885	0	1	1	774.822182333048
30.7476992909077	0	1	3	217.01461689856
129.384128190656	0	0	1	614.641072121794
14.4808077299675	0	0	2	31.3396010261836
-32.2065513274523	0	0	2	-129.409291179085
77.4767363597803	1	0	2	344.71280878353
75.090920219921	1	1	1	480.12857747461
88.5459769473617	1	0	2	387.089403673911
21.8302718275984	1	1	2	212.86218879961
-9.2739916309815	1	0	1	-2.27477626652116
90.9190882450254	1	0	0	260.239005094473
-20.6133124195623	1	0	1	-57.0341140277467
117.50243673084	1	1	2	632.644659233859
24.1165104345562	1	1	1	174.601735066738
46.9850944021887	0	1	2	217.468769782429
70.7143179541549	0	1	1	460.532283812124
41.5912683139393	0	0	1	344.936020365104
62.2624182101337	0	0	2	189.181979921553
55.1119382406395	1	1	2	336.377632050675
101.34125469185	0	0	2	431.993847372479
43.0056160263217	1	1	2	405.951662331996
58.1733286443957	0	0	0	277.466192945429
6.91720747100297	1	1	0	120.338451216156
33.687075864395	1	1	1	177.398107728427
103.055545345415	1	0	1	444.229105553884
3.96814463195663	1	0	3	99.0264802725365
12.340799418396	0	0	1	-85.8905257980587
16.4117044585603	0	1	1	225.80336746005
48.9788795330139	0	1	0	24.1667758953745
17.142056437926	0	0	2	115.318231728904
95.4687788304264	1	0	2	285.684324801006
40.2090007901166	1	0	2	86.1550003134305
29.7238962380403	1	1	2	80.9432507613944
42.5599834277945	0	0	1	-9.7785941715232
81.7449956671657	0	0	1	439.840518815328
65.4482111641859	0	0	0	385.332672914076
25.328180957447	0	0	2	188.491370135291
58.0104354423995	0	1	2	457.036390692062
16.1513883094229	0	0	1	75.1928957608717
52.847413260545	1	1	1	390.607916243356
61.8583952147725	1	1	2	306.61896671771
8.10040799059823	0	0	3	106.166676587024
58.9068018011481	1	1	2	224.672459775785
77.0030843512185	1	0	2	401.846306719719
6.54799322622338	1	0	2	158.320260654755
29.6159688489481	0	0	3	87.4902150999667
74.4185914699676	1	1	2	341.223653198287
-23.7329318213352	0	0	1	-24.1357512080446
37.52855797668	0	1	3	445.671109236278
104.735861700849	0	1	1	738.827051433747
-5.53083497374772	0	0	2	85.1575577866979
-15.4874071610802	0	1	2	-191.05775028819
92.8704191943666	1	0	2	524.652067785154
-34.3826418707931	0	1	1	-24.7475756134046
52.0961993080294	0	1	1	157.347051733797
89.4836316064281	1	1	1	432.233853037635
18.8465354731072	0	0	1	90.7053197342969
12.0294592967675	1	0	1	-49.3065692031274
18.0628814751881	1	1	2	193.065739755737
38.6287281459188	1	1	1	399.409735075087
56.511477322367	1	1	2	330.326553990504
22.1494805352142	1	0	1	323.431805802688
50.5636852238567	0	1	2	435.428284289534
94.9197535138631	1	1	2	340.839036025996
42.2414218369946	0	1	1	245.313040218399
105.297211478171	1	0	1	647.379179286917
59.8679244365314	0	1	1	464.277234281048
26.3104983066475	0	0	1	1.55324485458462
48.9023609206439	1	0	3	354.957503824208
48.5891520180785	1	1	3	414.543374772377
-35.0706564667066	0	1	3	34.0587669496041
85.0804988653962	1	0	0	490.04765222775
